ACTH's:ACT,H's
beckon:beck,on
beclog:be,clog
become:be,come
becurl:be,curl
bedads:be,dads
bedamn:be,damn
bedash:be,dash
bedaub:be,daub
bedaze:be,daze
bedbug:bed,bug
bedded:be,dded
bedder:bed,der
bedeck:be,deck
bedell:be,dell
bedels:be,dels
bedews:be,dews
bedide:bed,ide
bedims:be,dims
bedkey:bed,key
bedlam:bed,lam
bedpan:bed,pan
bedrid:bed,rid
bedrop:be,drop
bedrug:be,drug
bedsit:bed,sit
beduck:be,duck
bedumb:be,dumb
bedung:be,dung
bedust:be,dust
bedyed:be,dyed
bedyes:be,dyes
beebee:bee,bee
beechy:beech,y
beedis:bee,dis
beefed:bee,fed
beenah:bee,nah
beeped:bee,ped
beeper:bee,per
beeves:be,eves
befall:be,fall
befell:be,fell
befits:be,fits
beflag:be,flag
beflea:be,flea
befogs:be,fogs
befool:be,fool
before:be,fore
befoul:be,foul
befret:be,fret
begall:be,gall
begaze:be,gaze
begems:be,gems
begets:be,gets
beggar:b,eggar
begged:b,egged
begift:be,gift
begild:be,gild
begins:be,gins
begird:be,gird
beglad:be,glad
begnaw:be,gnaw
begone:be,gone
begrim:be,grim
begulf:be,gulf
begums:be,gums
behalf:be,half
behave:be,have
behead:be,head
beheld:be,held
behest:be,hest
behind:be,hind
behold:be,hold
behoof:be,hoof
behowl:be,howl
beigel:beige,l
beiges:beige,s
beigne:b,eigne
beings:bein,gs
bejade:be,jade
bejels:bejel,s
bekahs:bekah,s
bekiss:be,kiss
beknot:be,knot
belace:be,lace
belady:be,lady
belahs:be,lahs
belaid:be,laid
belate:b,elate
belaud:be,laud
belays:be,lays
beldam:bel,dam
beleap:be,leap
belfry:bel,fry
belgas:bel,gas
belied:be,lied
belief:be,lief
belier:be,lier
belies:be,lies
belike:be,like
belive:be,live
bell's:b,ell's
belled:bel,led
belles:bel,les
bellow:bel,low
belong:be,long
belove:be,love
belows:be,lows
belted:bel,ted
belter:bel,ter
bema's:be,ma's
bemata:bema,ta
bemean:be,mean
bemire:be,mire
bemist:be,mist
bemixt:bemix,t
bemoan:be,moan
bemock:be,mock
bemoil:be,moil
bemuse:be,muse
bename:be,name
bend's:b,end's
benday:ben,day
bended:b,ended
bendee:ben,dee
bender:b,ender
bendys:bend,ys
benets:be,nets
benign:ben,ign
bennes:benne,s
bennet:ben,net
bennis:ben,nis
bentos:bent,os
bentsh:bent,sh
benumb:be,numb
benzin:ben,zin
berake:be,rake
berate:be,rate
bereft:be,reft
berets:be,rets
berg's:b,erg's
berime:be,rime
bermed:berm,ed
bermes:berm,es
berobs:be,robs
bertha:berth,a
berthe:berth,e
berths:berth,s
beryls:beryl,s
beseem:be,seem
beseen:be,seen
besets:be,sets
beside:be,side
besits:be,sits
besmut:be,smut
besnow:be,snow
besoms:be,soms
besort:be,sort
besots:be,sots
bespat:be,spat
besped:be,sped
bespit:be,spit
bespot:be,spot
best's:be,st's
bestad:bes,tad
bested:be,sted
bestir:be,stir
bestow:be,stow
bestud:be,stud
beta's:b,eta's
betake:be,take
betcha:bet,cha
beteem:be,teem
betels:be,tels
bethel:beth,el
betide:be,tide
betime:be,time
betoil:be,toil
betony:be,tony
betook:be,took
betoss:be,toss
betray:be,tray
betrim:be,trim
betrod:be,trod
bettas:bet,tas
better:bet,ter
bettor:bet,tor
bevels:bevel,s
bevers:be,vers
bevies:be,vies
bevors:bevor,s
bevues:bevue,s
bewail:be,wail
beware:be,ware
beweep:be,weep
bewept:be,wept
bewigs:be,wigs
beworm:be,worm
bewrap:be,wrap
beyond:be,yond
bezant:bez,ant
bezels:be,zels
bezils:bezil,s
bezoar:bez,oar
bhajis:bhaji,s
bhangs:b,hangs
bhoots:b,hoots
bialis:biali,s
bialys:bialy,s
biased:bias,ed
biases:bias,es
biaxal:bi,axal
bibbed:bib,bed
bibber:bibb,er
bibite:bi,bite
bibles:bib,les
bicarb:bi,carb
biceps:bi,ceps
bicker:b,icker
bicorn:bi,corn
bidden:bid,den
bidder:bid,der
bident:bi,dent
biders:bid,ers
bidets:bide,ts
biding:bi,ding
bidons:bi,dons
bields:bi,elds
bieldy:bield,y
biface:bi,face
biffed:biff,ed
biffin:biff,in
biflex:bi,flex
bifold:bi,fold
biform:bi,form
bigamy:bi,gamy
bigeye:big,eye
bigged:b,igged
bigger:big,ger
biggie:big,gie
biggin:big,gin
bighas:big,has
bights:bight,s
bigots:bigot,s
bigwig:big,wig
bijous:bijou,s
bijoux:bijou,x
bikers:bike,rs
bikies:bikie,s
biking:bi,king
bilboa:bilbo,a
bilbos:bilbo,s
bilged:bilge,d
bilges:bilge,s
bilk's:b,ilk's
bilked:bilk,ed
bilker:bilk,er
bill's:b,ill's
billed:bill,ed
biller:b,iller
billet:bill,et
billon:bill,on
billow:bill,ow
billyo:bill,yo
bimahs:bima,hs
bimbos:bimbo,s
binary:bi,nary
binate:bin,ate
binder:bin,der
bindis:bin,dis
binged:bin,ged
binger:bin,ger
binges:bing,es
binghi:bing,hi
bingle:b,ingle
bingos:bin,gos
binits:bi,nits
binman:bin,man
binmen:bin,men
binned:b,inned
biogas:bio,gas
biogen:bio,gen
biomes:bio,mes
bionic:b,ionic
bionts:biont,s
biopic:bio,pic
biosis:bio,sis
biotas:b,iotas
biotic:bi,otic
biotin:bio,tin
bipack:bi,pack
bipeds:bi,peds
bipods:bi,pods
birded:bird,ed
birder:bird,er
birken:birk,en
birled:birl,ed
birler:birl,er
birles:birl,es
birred:birr,ed
birses:birse,s
births:birth,s
bisect:bi,sect
bishes:b,ishes
bishop:bi,shop
bismar:bis,mar
bisson:bis,son
bister:bi,ster
bitchy:b,itchy
bite's:bi,te's
biters:bit,ers
biting:bi,ting
bitmap:bit,map
bitoks:bito,ks
bitted:bit,ted
bitten:bit,ten
bitter:bit,ter
bizone:bi,zone
blab's:b,lab's
blabby:blab,by
blacks:b,lacks
blacky:black,y
bladed:b,laded
blader:b,lader
blades:b,lades
blaffs:b,laffs
blague:bl,ague
blah's:b,lah's
blahed:bl,ahed
blains:bl,ains
blamed:b,lamed
blamer:b,lamer
blames:b,lames
blammo:bl,ammo
blanch:b,lanch
blanks:blank,s
blanky:b,lanky
blared:bl,ared
blares:b,lares
blashy:bl,ashy
blasts:b,lasts
blasty:blast,y
blatts:blat,ts
blawed:b,lawed
blazed:b,lazed
blazer:blaze,r
blazes:b,lazes
blazon:bl,azon
bleach:b,leach
bleaks:b,leaks
bleaky:b,leaky
blears:b,lears
bleary:b,leary
bleats:b,leats
blebby:bleb,by
bleeds:blee,ds
bleeps:b,leeps
blende:blend,e
blends:b,lends
bletch:bl,etch
blewit:blew,it
blight:b,light
blimey:b,limey
blimps:b,limps
blinds:b,linds
blinis:blin,is
blinks:b,links
blip's:b,lip's
blites:b,lites
blithe:b,lithe
bloats:bl,oats
blob's:b,lob's
blobby:b,lobby
blocks:b,locks
blocky:bloc,ky
blog's:b,log's
blokes:b,lokes
blonde:blond,e
blonds:blond,s
bloods:blood,s
bloody:blood,y
blooey:b,looey
blooie:b,looie
blooms:b,looms
bloomy:bloom,y
bloops:b,loops
blores:b,lores
blot's:b,lot's
blotch:blot,ch
blotto:b,lotto
blouse:b,louse
blousy:b,lousy
blow's:b,low's
blowby:blow,by
blowed:b,lowed
blower:b,lower
blowse:b,lowse
blowup:blow,up
bluded:blude,d
bludes:b,ludes
bluest:blue,st
bluesy:blues,y
bluets:blue,ts
blueys:bl,ueys
bluffs:b,luffs
blumed:blume,d
blumes:blume,s
blunge:b,lunge
blunks:b,lunks
blunts:b,lunts
blurbs:bl,urbs
blurry:b,lurry
blurts:blur,ts
blypes:blype,s
boaked:bo,aked
boar's:b,oar's
boards:bo,ards
boarts:bo,arts
boasts:b,oasts
boat's:b,oat's
boated:boa,ted
boatel:boa,tel
boater:b,oater
boatie:boa,tie
bobacs:boba,cs
bobaks:boba,ks
bobbed:bob,bed
bobbin:bob,bin
bobcat:bob,cat
bobfly:bob,fly
bobwig:bob,wig
bocage:bo,cage
boches:boche,s
bocked:bock,ed
bodged:bod,ged
bodger:bod,ger
bodges:bodge,s
bodgie:bod,gie
bodice:bo,dice
bodied:bo,died
bodies:bo,dies
boding:bo,ding
bodkin:bod,kin
bodles:bod,les
bodrag:bo,drag
boffed:b,offed
boffin:boff,in
boffos:boff,os
bogans:bog,ans
bogart:bog,art
bogeys:bogey,s
bogged:bog,ged
bogies:bo,gies
bogles:b,ogles
bogoak:bog,oak
bogong:bo,gong
bogued:bogue,d
bogues:bo,gues
boheas:boh,eas
bohunk:bo,hunk
boil's:b,oil's
boiled:b,oiled
boiler:b,oiler
boings:boing,s
boinks:b,oinks
boites:boite,s
boking:bo,king
bola's:bo,la's
bolded:bold,ed
bolden:b,olden
bolder:b,older
bolete:bole,te
boleti:bole,ti
bolled:boll,ed
bollen:boll,en
bollix:boll,ix
bollox:boll,ox
bolted:bolt,ed
bolter:bolt,er
bombax:bomb,ax
bombed:bomb,ed
bomber:b,omber
bombes:bomb,es
bombos:bomb,os
bonces:b,onces
bonded:bond,ed
bonder:bond,er
bone's:b,one's
boners:b,oners
bonged:bong,ed
bongos:bong,os
bonked:bonk,ed
bonnes:bonne,s
bonnet:bonne,t
bonzer:bonze,r
bonzes:bonze,s
boobed:boo,bed
boocoo:boo,coo
boodie:boo,die
booger:boo,ger
boogey:boo,gey
boogie:boo,gie
boohed:b,oohed
boohoo:boo,hoo
booked:boo,ked
booker:book,er
bookoo:book,oo
booksy:books,y
boom's:bo,om's
boomed:boo,med
boomer:bo,omer
boon's:bo,on's
boongs:boon,gs
boor's:bo,or's
boorka:boor,ka
boosts:boos,ts
booted:boo,ted
bootee:boo,tee
booths:boot,hs
boozed:b,oozed
boozer:booze,r
boozes:b,oozes
boozey:booze,y
bopeep:bo,peep
bopped:bop,ped
bopper:bop,per
borage:bo,rage
borals:b,orals
borane:bor,ane
borate:b,orate
bordar:bord,ar
bordel:bor,del
border:b,order
bore's:b,ore's
boreal:bo,real
boreas:bor,eas
boreen:bo,reen
borers:bor,ers
borgos:bor,gos
boride:bo,ride
boring:bo,ring
borked:bor,ked
borons:bor,ons
borrel:bor,rel
borrow:bor,row
borsht:bors,ht
bosche:bos,che
bosh's:bo,sh's
boshes:bo,shes
bosker:bo,sker
bosket:bos,ket
bosoms:bo,soms
bosomy:bosom,y
bosons:bo,sons
bossed:bos,sed
bosser:bos,ser
bosses:boss,es
bosset:bos,set
boston:bos,ton
botany:bot,any
botchy:botch,y
botels:bo,tels
botfly:bot,fly
bother:b,other
bothie:bot,hie
bottes:bot,tes
bottom:bot,tom
boughs:bo,ughs
bought:b,ought
boules:bo,ules
boults:boult,s
bounce:b,ounce
bounds:bound,s
boused:bo,used
bouses:bo,uses
bout's:b,out's
bouton:bout,on
bovate:b,ovate
bovids:bo,vids
bovine:b,ovine
bowboy:bow,boy
bowels:bo,wels
bowers:bow,ers
bowery:bower,y
bowets:bo,wets
bowfin:bow,fin
bowing:b,owing
bowl's:b,owl's
bowled:b,owled
bowleg:bow,leg
bowler:b,owler
bowman:bow,man
bowmen:bow,men
bowpot:bow,pot
bowsaw:bow,saw
bowsed:bow,sed
bowser:bow,ser
bowses:bows,es
bowtie:bow,tie
bowwow:bow,wow
bowyer:bow,yer
boxcar:box,car
boxers:b,oxers
boyard:bo,yard
boyars:boy,ars
boyaux:boy,aux
boyish:boy,ish
boylas:boy,las
braced:b,raced
bracer:b,racer
braces:b,races
brachs:bra,chs
bracks:b,racks
bracts:br,acts
brad's:b,rad's
brag's:b,rag's
braggy:b,raggy
bragly:br,agly
braids:b,raids
brails:b,rails
brains:b,rains
brainy:b,rainy
braise:b,raise
braked:b,raked
brakes:b,rakes
branch:b,ranch
brands:b,rands
brandy:b,randy
branks:b,ranks
branny:bran,ny
brants:b,rants
brashy:br,ashy
brassy:brass,y
brat's:b,rat's
bratty:b,ratty
bravas:br,avas
braved:b,raved
braver:b,raver
braves:b,raves
bravos:br,avos
brawer:b,rawer
brawls:br,awls
brawly:b,rawly
brawns:b,rawns
brawny:br,awny
bray's:b,ray's
brayed:b,rayed
brayer:bra,yer
brazas:bra,zas
brazed:b,razed
brazen:bra,zen
brazer:b,razer
brazes:b,razes
breach:b,reach
breads:b,reads
bready:b,ready
breaks:b,reaks
breams:b,reams
breast:b,reast
breath:br,eath
breded:b,reded
bredes:b,redes
breech:b,reech
breeds:b,reeds
breeks:b,reeks
bregma:b,regma
brents:b,rents
breves:br,eves
brevet:b,revet
brewed:b,rewed
brewer:br,ewer
brewis:brew,is
bribed:bribe,d
bribee:bribe,e
briber:bribe,r
bribes:b,ribes
bricks:b,ricks
bricky:br,icky
brides:b,rides
bridge:b,ridge
bridle:br,idle
briefs:brie,fs
briers:brie,rs
briery:brier,y
brig's:b,rig's
bright:b,right
brillo:brill,o
brills:b,rills
brim's:b,rim's
brined:brin,ed
briner:brin,er
brines:brin,es
brings:b,rings
brinks:b,rinks
briony:brio,ny
brisks:b,risks
bris�s:bris�,s
brit's:br,it's
briths:brit,hs
britts:b,ritts
broach:b,roach
broads:b,roads
brochs:br,ochs
brocks:b,rocks
brogan:bro,gan
broghs:brog,hs
brogue:b,rogue
broils:b,roils
broken:bro,ken
broker:b,roker
bromal:b,romal
bromes:bro,mes
bromic:bro,mic
bromid:bro,mid
bromin:bro,min
bromos:bro,mos
bronco:bronc,o
broncs:bronc,s
brooch:bro,och
broods:b,roods
broody:brood,y
brooks:b,rooks
brools:broo,ls
brooms:b,rooms
broomy:b,roomy
broose:b,roose
broses:b,roses
broths:broth,s
brothy:bro,thy
brough:b,rough
brow's:b,row's
browed:b,rowed
browns:br,owns
browny:brow,ny
browse:br,owse
browst:brow,st
browsy:brows,y
brughs:br,ughs
bruins:b,ruins
bruits:bruit,s
brumal:b,rumal
brumes:brume,s
brunch:b,runch
brunts:b,runts
brushy:b,rushy
brutal:brut,al
bruted:brut,ed
bruter:brut,er
brutes:br,utes
bruxed:brux,ed
bruxes:brux,es
buayas:buaya,s
buazes:buaze,s
bubale:bu,bale
bubals:bu,bals
bubbas:bub,bas
buboed:bubo,ed
buboes:bub,oes
buchus:buchu,s
bucked:buck,ed
bucker:buck,er
bucket:buck,et
buckos:buck,os
buckus:buck,us
budded:bu,dded
budder:b,udder
budged:bud,ged
budger:bud,ger
budges:budge,s
budget:bud,get
budgie:bud,gie
buffed:buff,ed
buffer:buff,er
buffet:buff,et
buffos:buff,os
bugeye:bug,eye
bugged:b,ugged
bugger:bug,ger
bugled:bu,gled
bugler:bugle,r
bugles:bug,les
buglet:bug,let
bugong:bu,gong
bugout:bu,gout
bugsha:bug,sha
buhl's:bu,hl's
builds:build,s
bulb's:bu,lb's
bulbar:bul,bar
bulbed:bul,bed
bulbel:bul,bel
bulbul:bul,bul
bulgar:bul,gar
bulged:bul,ged
bulger:bul,ger
bulges:bulge,s
bulgur:bul,gur
bulimy:bu,limy
bulked:bul,ked
bulker:bulk,er
bullae:bull,ae
bullas:bul,las
bulled:bul,led
bullet:bul,let
bulses:bulse,s
bumbag:bum,bag
bumbee:bum,bee
bumbos:b,umbos
bumkin:bum,kin
bummed:bum,med
bummel:bum,mel
bump's:b,ump's
bumped:b,umped
bumper:bum,per
bumphs:b,umphs
bunced:bunce,d
bunces:b,unces
bunchy:bunch,y
buncos:b,uncos
bunded:bund,ed
bundts:bund,ts
bunged:bun,ged
bungee:bun,gee
bungey:bun,gey
bungie:bun,gie
bunias:bunia,s
bunion:b,union
bunjee:bun,jee
bunjes:bunje,s
bunked:b,unked
bunker:bunk,er
bunkum:bunk,um
buntal:bunt,al
bunted:bun,ted
bunter:bun,ter
bunyas:bu,nyas
bunyip:bun,yip
buoyed:buoy,ed
burans:bur,ans
burbot:bur,bot
burden:bur,den
burdie:bur,die
bureau:bur,eau
burets:bu,rets
burgee:bur,gee
burger:b,urger
burghs:burg,hs
burgoo:bur,goo
burial:b,urial
burins:bu,rins
burkas:bur,kas
burker:burke,r
burkes:burke,s
burlap:bur,lap
burled:bur,led
burler:burl,er
burley:bur,ley
burn's:b,urn's
burned:b,urned
burner:burn,er
burnet:bur,net
burnup:burn,up
buroos:bu,roos
burped:b,urped
burqas:burqa,s
burred:bur,red
burrel:bur,rel
burrer:burr,er
burros:burr,os
burrow:bur,row
bursae:b,ursae
bursal:bur,sal
bursar:bur,sar
burses:burs,es
bursts:burs,ts
burton:bur,ton
busbar:bus,bar
busboy:bus,boy
bush's:bu,sh's
bushed:bu,shed
bushel:bush,el
busher:b,usher
bushes:bu,shes
busing:b,using
busked:bus,ked
busker:bu,sker
busket:bus,ket
buskin:bu,skin
busman:bus,man
busmen:bus,men
bussus:bus,sus
bust's:bu,st's
busted:bu,sted
bustee:bus,tee
buster:bu,ster
bustic:bus,tic
butane:bu,tane
butene:bu,tene
buteos:bute,os
butled:but,led
butler:butle,r
butles:but,les
butohs:but,ohs
butted:but,ted
butter:b,utter
buttes:but,tes
button:but,ton
bututs:bu,tuts
butyls:butyl,s
buyers:buy,ers
buyoff:buy,off
buyout:buy,out
buzzed:buzz,ed
buzzer:buzz,er
buzzes:buzz,es
bwanas:bwana,s
bwazis:bwazi,s
bygone:by,gone
byhand:by,hand
byking:by,king
bylaws:by,laws
byline:by,line
bylive:by,live
byname:by,name
bypass:by,pass
bypath:by,path
byplay:by,play
byrlaw:byrl,aw
byrled:byrl,ed
byroad:by,road
byroom:by,room
byssal:bys,sal
byssus:bys,sus
bytalk:by,talk
byte's:by,te's
bytime:by,time
byways:by,ways
byword:by,word
bywork:by,work
b�tons:b�ton,s
cabala:cab,ala
cabals:ca,bals
cabana:cab,ana
cabbed:cab,bed
cabers:cab,ers
cabins:ca,bins
cabled:c,abled
cabler:c,abler
cables:c,ables
cablet:c,ablet
cabman:cab,man
cabmen:cab,men
cabobs:ca,bobs
cabocs:caboc,s
cabrie:ca,brie
cabrit:ca,brit
cacaos:caca,os
cached:c,ached
caches:c,aches
cachet:cache,t
cachou:ca,chou
cacoon:ca,coon
caddie:cad,die
caddis:cad,dis
cadeau:cad,eau
cadees:ca,dees
cadent:ca,dent
cadets:cade,ts
cadged:cad,ged
cadger:cad,ger
cadges:cadge,s
cadies:ca,dies
cadmic:cad,mic
cadres:cad,res
cafard:ca,fard
cafila:ca,fila
cage's:c,age's
cagers:c,agers
caging:c,aging
cagots:cagot,s
cahoot:ca,hoot
cahows:ca,hows
cairds:caird,s
cairns:c,airns
cairny:cairn,y
cajole:ca,jole
cajuns:cajun,s
caking:c,aking
cakras:cakra,s
calami:cal,ami
calash:ca,lash
calcar:cal,car
calima:ca,lima
calked:cal,ked
calkin:cal,kin
call's:c,all's
callan:call,an
callas:cal,las
called:cal,led
caller:call,er
callet:cal,let
callid:cal,lid
callop:cal,lop
callow:c,allow
callus:call,us
calm's:ca,lm's
calmed:cal,med
calmer:calm,er
calory:ca,lory
calpac:cal,pac
calpas:cal,pas
calved:calve,d
calver:calve,r
calves:calve,s
calx's:ca,lx's
calxes:calx,es
camail:ca,mail
camans:ca,mans
camash:ca,mash
camass:c,amass
camber:c,amber
came's:ca,me's
camels:ca,mels
cameos:came,os
camera:cam,era
camese:ca,mese
camion:cam,ion
camisa:camis,a
camize:ca,mize
camlet:cam,let
cammed:cam,med
camote:ca,mote
camp's:c,amp's
camped:c,amped
camper:cam,per
cample:c,ample
camply:c,amply
campos:cam,pos
campus:cam,pus
canals:can,als
canard:ca,nard
canary:ca,nary
cancan:can,can
cancel:can,cel
cancer:canc,er
cancha:can,cha
candid:can,did
candie:can,die
candor:can,dor
canehs:can,ehs
caners:can,ers
cangle:c,angle
cangue:can,gue
canids:ca,nids
canine:ca,nine
canker:c,anker
cannae:can,nae
cannas:c,annas
canned:can,ned
cannel:cann,el
canner:cann,er
cannon:can,non
cannot:can,not
canoed:canoe,d
canoes:ca,noes
canons:c,anons
cansos:cans,os
cant's:c,ant's
cantal:cant,al
cantar:c,antar
canted:c,anted
canter:can,ter
canthi:cant,hi
cantic:c,antic
canton:can,ton
cantor:can,tor
cantos:cant,os
cantus:cant,us
canvas:can,vas
canyon:c,anyon
cape's:c,ape's
capers:c,apers
capias:ca,pias
caping:c,aping
capita:ca,pita
caples:cap,les
caplet:cap,let
caplin:cap,lin
capons:ca,pons
capote:ca,pote
capots:ca,pots
capped:cap,ped
capper:cap,per
caprid:cap,rid
capsid:ca,psid
captan:cap,tan
captor:cap,tor
capuls:ca,puls
carack:ca,rack
caract:car,act
caraps:ca,raps
carate:ca,rate
carats:ca,rats
carbon:carb,on
carbos:car,bos
carboy:car,boy
carcel:car,cel
carded:card,ed
carder:car,der
cardia:cardi,a
cardie:car,die
cardis:car,dis
cardon:car,don
care's:c,are's
careen:ca,reen
career:care,er
carers:car,ers
caress:car,ess
carets:c,arets
carfax:car,fax
carfox:car,fox
carhop:car,hop
caring:ca,ring
carked:car,ked
carles:c,arles
carlin:car,lin
carlot:car,lot
carman:car,man
carmen:car,men
carnal:carn,al
carnet:car,net
carobs:ca,robs
caroch:ca,roch
caroli:carol,i
carols:carol,s
caroms:ca,roms
carpal:car,pal
carped:car,ped
carpel:carp,el
carper:car,per
carpet:car,pet
carpus:car,pus
carrat:car,rat
carrel:car,rel
carrom:car,rom
carrot:car,rot
carses:cars,es
carsey:car,sey
cart's:c,art's
cartas:car,tas
carted:car,ted
cartel:c,artel
carter:car,ter
cartes:car,tes
carton:car,ton
cartop:car,top
carved:carve,d
carvel:car,vel
carven:carve,n
carver:carve,r
carves:carve,s
casaba:casa,ba
cascos:casco,s
casefy:case,fy
casein:case,in
cash's:c,ash's
cashaw:ca,shaw
cashed:c,ashed
cashes:c,ashes
cashew:ca,shew
cashoo:ca,shoo
casing:ca,sing
casked:c,asked
casket:cask,et
cast's:ca,st's
casted:ca,sted
caster:c,aster
castes:cast,es
castor:ca,stor
catchy:catch,y
catena:cate,na
caters:cat,ers
catgut:cat,gut
cation:cat,ion
catkin:cat,kin
catlap:cat,lap
catlin:cat,lin
catnap:cat,nap
catnep:cat,nep
catnip:cat,nip
catted:cat,ted
cattie:cat,tie
caudad:c,audad
caudal:ca,udal
caught:c,aught
caulds:caul,ds
caules:ca,ules
caulis:caul,is
caulks:caul,ks
causal:caus,al
caused:ca,used
causer:ca,user
causes:ca,uses
causey:cause,y
caveat:cave,at
cavels:cave,ls
cavern:caver,n
cavers:c,avers
cavies:ca,vies
cavils:cavil,s
cawing:c,awing
cawker:cawk,er
caxons:c,axons
cayuse:cay,use
ceased:c,eased
ceases:c,eases
cebids:cebid,s
cedarn:cedar,n
cedars:cedar,s
ceders:cede,rs
cegeps:cegep,s
ceibas:ceiba,s
ceiled:ceil,ed
ceiler:ceil,er
celebs:celeb,s
cell's:c,ell's
cellae:cell,ae
cellar:cel,lar
celled:cel,led
cellos:cel,los
celoms:cel,oms
censed:cen,sed
censer:cen,ser
censes:cens,es
censor:cens,or
census:cen,sus
centai:cen,tai
cental:cent,al
centas:cen,tas
center:c,enter
centos:cent,os
centry:c,entry
centum:cen,tum
ceorls:c,eorls
cercis:cerci,s
cereal:cere,al
cereus:cere,us
cerges:cerge,s
cerias:ceria,s
ceroon:cero,on
cerous:cero,us
certes:cert,es
cessed:cess,ed
cesser:cess,er
cesses:c,esses
cestas:cesta,s
chacos:cha,cos
chadar:chad,ar
chador:cha,dor
chaeta:cha,eta
chafed:cha,fed
chafer:cha,fer
chafes:cha,fes
chaffs:c,haffs
chaffy:ch,affy
chafts:c,hafts
chagan:cha,gan
chains:ch,ains
chairs:c,hairs
chaise:chai,se
chalah:cha,lah
chalan:ch,alan
chaleh:chal,eh
chalet:cha,let
chalks:chal,ks
chalky:ch,alky
challa:chal,la
chally:ch,ally
chalot:cha,lot
champs:ch,amps
champy:champ,y
chance:c,hance
change:chang,e
changs:c,hangs
chanks:c,hanks
chants:c,hants
chap's:c,hap's
chapel:chap,el
chapes:ch,apes
chapka:chap,ka
chappy:c,happy
charas:cha,ras
chards:c,hards
chared:c,hared
chares:c,hares
charet:ch,aret
charge:char,ge
charka:char,ka
charks:c,harks
charms:c,harms
charro:charr,o
charrs:char,rs
charry:c,harry
charta:char,ta
charts:c,harts
chased:cha,sed
chaser:cha,ser
chases:chas,es
chasms:chas,ms
chasmy:chas,my
chaste:c,haste
chat's:c,hat's
chaton:cha,ton
chatta:chat,ta
chatti:chat,ti
chatty:ch,atty
chaw's:c,haw's
chawed:c,hawed
chawer:chaw,er
chayas:chay,as
chazan:c,hazan
cha�n�:ch,a�n�
cheapo:cheap,o
cheaps:c,heaps
cheapy:c,heapy
cheats:c,heats
checks:c,hecks
checky:check,y
cheder:c,heder
cheeks:ch,eeks
cheeky:cheek,y
cheeps:cheep,s
cheero:cheer,o
cheers:che,ers
cheery:cheer,y
chelae:chela,e
chelas:che,las
chemic:c,hemic
chemmy:ch,emmy
chemos:che,mos
chenet:che,net
chenix:che,nix
cherem:c,herem
cherry:c,herry
cherts:chert,s
cherty:chert,y
cherub:ch,erub
chests:c,hests
chesty:che,sty
cheths:c,heths
cheven:ch,even
chevet:ch,evet
chevin:che,vin
chewed:c,hewed
chewer:c,hewer
chewet:che,wet
chiack:chia,ck
chiasm:chias,m
chiaus:chia,us
chicas:chic,as
chicer:ch,icer
chicha:chi,cha
chichi:chi,chi
chicks:c,hicks
chicly:chi,cly
chicon:ch,icon
chicos:chi,cos
chided:c,hided
chider:c,hider
chides:c,hides
chiefs:chi,efs
chield:chi,eld
chiels:chi,els
chikor:chi,kor
childe:child,e
chills:c,hills
chilly:c,hilly
chimar:chi,mar
chimbs:chimb,s
chimed:chi,med
chimer:chime,r
chimes:chi,mes
chimps:ch,imps
chin's:c,hin's
chinar:chin,ar
chinas:chi,nas
chinch:ch,inch
chined:chi,ned
chines:chin,es
chinks:ch,inks
chinky:ch,inky
chinos:chi,nos
chints:c,hints
chip's:c,hip's
chippy:c,hippy
chirks:ch,irks
chirms:chi,rms
chiros:chiro,s
chirps:chi,rps
chirpy:chirp,y
chirre:chirr,e
chirrs:chirr,s
chirts:chirt,s
chisel:chi,sel
chit's:c,hit's
chital:ch,ital
chitin:chi,tin
chiton:chi,ton
chived:c,hived
chives:c,hives
chized:chi,zed
chizes:chiz,es
chocho:choc,ho
chocko:choc,ko
chocks:c,hocks
chocos:choc,os
choirs:choir,s
choked:c,hoked
choker:choke,r
chokes:c,hokes
chokos:choko,s
chokra:ch,okra
cholas:chola,s
cholic:choli,c
cholis:choli,s
cholla:c,holla
cholos:cholo,s
chomps:chomp,s
chon's:c,hon's
choofs:c,hoofs
chooks:c,hooks
chooms:choom,s
choose:ch,oose
choosy:ch,oosy
chop's:c,hop's
chopin:chop,in
choppy:c,hoppy
choral:c,horal
chorda:chord,a
chords:ch,ords
chorea:chore,a
chored:chore,d
choree:chore,e
chores:ch,ores
chosen:c,hosen
choses:c,hoses
chotts:chott,s
chough:c,hough
chouse:c,house
choush:chou,sh
chouts:c,houts
chow's:c,how's
chowed:ch,owed
chowse:ch,owse
chroma:ch,roma
chub's:c,hub's
chubby:c,hubby
chucks:c,hucks
chucky:chuck,y
chufas:chufa,s
chuffs:c,huffs
chuffy:c,huffy
chug's:c,hug's
chum's:c,hum's
chummy:chum,my
chumps:c,humps
chunks:c,hunks
chunky:c,hunky
chupot:c,hupot
churls:c,hurls
churns:ch,urns
churro:churr,o
churrs:churr,s
chuted:chut,ed
chutes:ch,utes
chyles:chyle,s
chymes:chyme,s
cibols:cibol,s
ciders:cider,s
cidery:cider,y
cigars:cig,ars
ciggie:cig,gie
cilium:c,ilium
cimars:cimar,s
cinema:cine,ma
circar:cir,car
ciscos:cis,cos
cissus:cis,sus
cisted:cis,ted
cistic:cis,tic
cistus:cist,us
citals:cit,als
citers:cit,ers
citess:cit,ess
cither:c,ither
citola:cito,la
citrin:cit,rin
